Nombre del Tratado,Bilateral,Lugar de Adopcion,Fecha de Adopcion,Estados-Organismos,Temas,Naturaleza del Tratado,Depositario,Suscribio Por Colombia,Vigente,Fecha Ley Aprobatoria,Numero Ley Aprobatoria,Sentencia Fecha Ley,Sentencia Numero,Decreto Fecha Diario Oficial,Decreto Numero Diario Oficial
CONVENCION SOBRE NEUTRALIDAD MARITIMA,NO,LA HABANA,20/02/1928,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,ENRIQUE OLAYA HERRERA,SI,27/05/1931,69 DE 1931,17/01/1941,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYEN UN ACUERDO MUTUO SOBRE OCUPACION DE DEPENDIENTES ENTRE LA REPUBLICA DE COLOMBIA Y EL REINO DE DINAMARCA,SI,BOGOTA,06/09/2022,DINAMARCA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),(NO REGISTRA),SI,(NO REGISTRA),(NO REGISTRA),13/09/2022,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE COOPERACION ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL INSTITUTO LATINOAMERICANO DE LAS NACIONES UNIDAS PARA LA PREVENCION DEL DELITO Y EL TRATAMIENTO DEL DELINCUENTE (ILANUD),SI,BOGOTA,07/06/1988,INSTITUTO LATINOAMERICANO DE LAS NACIONES UNIDAS PARA LA PREVENCIÓN DEL DELITO Y EL TRATAMIENTO DEL DELINCUENTE–ILANUD,(NO REGISTRA),TRATADO,(NO REGISTRA),"ENRIQUE LOW MURTRA - MINISTRO DE JUSTICIA, ENCARGADO DE LAS FUNCIONES DEL DESPACHO DEL MINISTERIO DE RELACIONES EXTERIORES",SI,04/10/1989,43 DE 1989,20/10/2006,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"ACUERDO REGIONAL SOBRE EL ACCESO A LA INFORMACION, LA PARTICIPACION PUBLICA Y EL ACCESO A LA JUSTICIA EN ASUNTOS AMBIENTALES EN AMERICA LATINA Y EL CARIBE",NO,ESCAZU,04/03/2018,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,GUILLERMO ROQUE FERNANDEZ DE SOTO VALDERRAMA - EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO ADSCRITO A LA MISION PERMANENTE DE COLOMBIA ANTE LA ONU,NO,05/11/2022,LEY 2273 DE2022,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENCION MULTILATERAL PARA APLICAR LAS MEDIDAS RELACIONADAS CON LOS TRATOS FISCALES PARA PREVENIR LA EROSION DE LAS BASES IMPONIBLES Y EL TRASLADO DE BENEFICIOS,NO,PARIS,07/06/2017,ORGANIZACIÓN PARA LA COOEPRACION Y EL DESARROLLO ECONOMICO-OCDE,(NO REGISTRA),TRATADO,(NO REGISTRA),(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"TRATADO DE AMISTAD, COMERCIO Y NAVEGACION CON LA GRAN BRETAÑA DE 1866 Y SUS ENMIENDAS DE 1912 1938 Y 1980 ENTRE GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DEL REINO DE GRAN BRETAÑA",SI,LONDRES,16/02/1866,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,(NO REGISTRA),TRATADO,(NO REGISTRA),TOMAS CIPRIANO DE MOZQUERA - MINISTRO PLENIPOTENCIARIO,SI,16/10/1912,LEY 38 DE 1912,17/10/1876,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENCION DE LAS NACIONES UNIDAS PARA LA REPRESION DE LA TRATA DE BLANCAS Y DE LA EXPLOTACION AJENA,NO,NUEVA YORK,21/03/1950,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYEN UN ACUERDO POR EL CUAL SE EXTIENDE LA CONVENCION COMPLEMENTARIA AL TRATADO DE EXTRADICION DE 1888 A VARIOS PROTECTORADOS BRITANICOS,SI,BOGOTA,01/08/1934,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),ROBERTO URDANETA ARBELAEZ - MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),01/08/1934,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENCION INTERAMERICANA SOBRE NORMAS GENERALES DE DERECHO INTERNACIONAL PRIVADO,NO,MONTEVIDEO,08/05/1979,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),SI,22/01/1981,21 DE 1981,10/09/1981,(NO REGISTRA),26/08/1982,2492 DE 1982
ACUERDO SUPLEMENTARIO SOBRE LA PRESTACION DE ASISTENCIA TECNICA POR EL ORGANISMO INTERNACIONAL DE ENERGIA ATOMICA AL GOBIERNO DE LA REPUBLICA DE COLOMBIA,SI,VIENA,11/01/1993,ORGANISMO INTERNACIONAL DE ENERGIA ATOMICA-OIEA,(NO REGISTRA),TRATADO,(NO REGISTRA),ERNESTO VILLARREAL SILVA - DIRECTOR GENERAL INSTITUTO DE ASUNTOS NUCLEARES,NO,17/07/1996,296 DE 1996,02/07/1997,C-143/1997,(NO REGISTRA),(NO REGISTRA)
